,surveyID,enum_no,Zone_NO,Class No,lat,lon,busi_activity,oper_time,home_del_pro,pick_take_away,deli_from,only_est,est_area,off_street_park,park_area,aload_docks,no_load_docks,full_emp,part_emp,work_shifts,load_share,to_2a,to_3w,to_bi,to_lt,to_ot,to_pi,owned_2a,owned_3w,owned_bi,owned_lt,owned_pi,owned_ot,leased_2a,leased_3w,leased_bi,leased_lt,leased_ot,leased_pi,len_m_100,len_m_300,len_m_500,len_m_750,NAICS_code,weekly_trucks,to_b3,to_tr,to_all_np
372,1371,1,1,4759,13.03521228,80.15619883,Electronics,13.03780024,No,No,Others,No,354.5879351,No,20,No,1,4.082457593,0.08898165,No,No,0.084522137,0.106965448,0.438621636,0.468323623,0.757195401,0.461693305,1,0,1,0,0,1,1,1,1,0,1,0,1088.29,6267.238682,16862.75198,32195.21401,44,0,0.545587085,0.55284576,1
236,1235,1,1,4771,13.00705925,80.25009196,Apparel / Accessory,13.60423968,Yes,Yes,Several Individual warehouses,Yes,844.9511177,Yes,20,Yes,1,4.082457593,0.08898165,Yes,Yes,0.809843976,0.143846216,0.033488446,0.403423923,0.539916823,0.517655979,0,1,1,1,0,0,1,2,1,1,0,0,890.26,7310.543464,18136.31303,83915.11917,44,0,0.177334661,1.213267899,0.142857143
358,1357,1,1,4772,13.03418921,80.15866997,Pharma vendor,14.70878191,No,No,Several Individual warehouses,No,208.89369,No,20,No,1,3.082457593,0.08898165,No,Yes,0.894717184,0.759731057,0.259506735,0.098713311,0.951868226,0.764890861,1,1,1,0,1,1,1,1,1,0,0,0,664.02,6157.963989,18393.75209,294175.2718,44,0.466666667,1.019237792,0.993430495,0.285714286
334,1333,1,1,4649,13.03204438,80.23059672,Others,10.61446904,Yes,Yes,Several Individual warehouses,Yes,330.5883835,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.52311344,0.591697623,0.279916399,0.467057581,0.347277184,0.208581046,1,0,0,1,0,0,1,1,1,1,1,1,720.83,7028.197519,17987.09596,40497.12222,42,0,0.871614022,0.990171021,0.285714286
273,1272,1,1,4771,13.01959235,80.20595642,Apparel / Accessory,11.08089604,No,No,Several Individual warehouses,No,212.5533296,No,20,No,1,1.082457593,0.08898165,No,Yes,0.746031629,0.382171657,1.059873472,0.436915837,0.136629795,0.791123093,1,1,1,1,0,0,1,1,0,1,0,0,1343.17,6128.289073,16293.90484,32703.23103,44,0,1.442045129,1.182947466,0.133333333
826,1825,1,1,4759,13.09027119,80.26569798,Electronics,11.16620369,Yes,Yes,Several Individual warehouses,Yes,43.93725828,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.709292932,0.79799992,0.845044463,0.190401959,0.703929259,0.60054028,1,0,0,1,1,0,1,0,1,0,1,0,740.67,4480.873004,11093.06072,30970.15745,44,0,1.643044384,0.899694891,0.142857143
647,1646,1,1,4721,13.05975588,80.21915653,Food stores,18.01847184,Yes,Yes,Several Individual warehouses,Yes,250.134322,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.265601185,0.299676573,0.802653223,0.749902364,0.510697784,0.562642445,1,0,0,0,1,0,1,1,1,1,1,0,663.78,7941.077079,19498.30049,42856.8474,44,0,1.102329797,1.015503549,0.285714286
272,1271,1,1,4759,13.01894728,80.20509588,Electronics,11.8957657,No,No,Others,No,737.7198242,No,20,No,1,8.082457593,0.08898165,No,No,0.98322572,0.443372479,0.070118778,0.404006166,0.232567453,0.824908215,0,1,1,1,1,1,1,0,1,0,1,0,932.25,5827.212762,16421.1239,83915.11917,44,0,0.513491258,1.387231886,0.285714286
733,1732,1,1,4772,13.07640823,80.26246773,Pharma vendor,14.66425043,Yes,Yes,Several Individual warehouses,Yes,1135.483681,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.082185319,0.719747961,2.815364974,0.677097202,0.914946573,1.363848383,0,0,2,1,1,1,1,0,1,1,0,1,220.22,4857.02611,13951.67268,38633.0037,44,0,3.535112935,0.759282521,4
159,1158,1,1,4721,12.99184149,80.25524957,Food stores,16.33103206,No,No,Several Individual warehouses,No,1577.229006,No,20,No,1,2.082457593,0.08898165,No,Yes,0.598343952,1.193501002,0.248309491,0.085067675,0.414500091,0.613431186,1,0,5,0,1,1,0,0,1,0,1,0,510.74,8780.538348,19079.03737,47654.32142,44,7,1.441810493,0.683411628,2
601,1600,1,1,4752,13.05339072,80.27075214,Building Material / Hardware,10.13672338,Yes,Yes,Several Individual warehouses,Yes,129.988754,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.727514361,0.003593324,0.04520778,0.260784431,0.737944486,0.213244379,0,0,1,0,0,0,0,1,1,0,1,1,1137.43,5640.618278,18559.35087,43403.64453,44,0,0.048801105,0.988298793,0.285714286
109,1108,1,1,4759,12.98451886,80.26175132,Others,11.73874604,Yes,Yes,Several Individual warehouses,Yes,558.1383673,Yes,20,Yes,1,2.082457593,0.08898165,Yes,Yes,0.423342982,0.833009404,0.570555289,0.462512169,0.011043626,1.107774544,0,0,0,1,1,1,1,1,1,1,1,1,605.1,6127.378309,16902.55597,36455.33966,45,0,1.403564693,0.885855151,0.142857143
934,1933,1,1,4721,13.11439384,80.24389368,Food stores,13.45085476,Yes,Yes,Several Individual warehouses,Yes,345.0619103,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.919832313,0.975185038,0.808423872,0.260609332,0.063728569,0.527804756,0,1,1,1,1,1,0,0,1,1,1,0,695.42,5547.171552,16555.47112,38261.90788,44,0,1.78360891,1.180441645,0.428571429
103,1102,1,1,4761,12.98304501,80.23993097,Others,12.46321224,Yes,Yes,Several Individual warehouses,Yes,33.39132862,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.370236969,0.033205452,0.982001963,0.865758323,0.642548729,0.850888105,0,0,1,1,1,0,1,0,0,0,1,1,938.18,6488.749724,18204.26155,38162.85763,45,0,1.015207415,1.235995292,0.285714286
851,1850,1,1,9999,13.09124059,80.27936477,Others,11.86711357,Yes,Yes,From wholesale shops,Yes,45.22770669,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.434836568,0.685594444,0.496547391,0.997823113,0.692539447,0.770922726,1,1,0,1,1,1,1,1,0,1,0,0,862.02,7667.555351,16763.98864,15245.286,44,0,1.182141835,1.432659681,0.033333333
839,1838,1,1,4771,13.09066904,80.28145875,Apparel / Accessory,11.18485491,Yes,Yes,Several Individual warehouses,Yes,196.4422516,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.632930046,0.667658632,0.398376773,0.276422308,0.178105911,0.43650094,0,1,1,0,0,0,1,0,1,0,0,0,636.77,5701.166347,16699.87745,16514.46239,44,0,1.066035404,0.909352354,0.285714286
168,1167,1,1,4752,12.99456771,80.2560228,Building Material / Hardware,11.63513962,Yes,Yes,Several Individual warehouses,Yes,1588.499705,Yes,20,Yes,1,6.082457593,0.08898165,Yes,No,0.744870091,0.952486243,0.246184666,0.260976598,0.113685724,0.917239205,0,1,1,0,0,0,1,1,1,0,0,1,671.48,4541.915056,13639.80485,42523.19262,44,4,1.198670909,1.005846689,0.133333333
283,1282,1,1,4771,13.02150593,80.22370719,Apparel / Accessory,12.58021504,Yes,Yes,Central Warehouse of establishment,Yes,572.4947758,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.845169114,0.444491054,0.425484802,0.147365233,0.676283008,0.313768835,1,0,1,1,0,1,1,0,0,0,1,2,1706.84,5875.542365,16540.98487,41184.82707,44,0,0.869975856,0.992534348,0.1
252,1251,1,1,4771,13.01071765,80.19638298,Apparel / Accessory,12.39352655,Yes,Yes,From wholesale shops,Yes,165.6682608,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.56337451,0.311600585,0.004738654,0.563754194,0.712335633,1.33064063,0,0,2,1,1,0,0,0,0,1,0,1,1024.91,5972.743317,17515.81185,61662.16176,44,0,0.316339239,1.127128704,0.428571429
666,1665,1,1,4641,13.06287849,80.26432698,Home furniture/ appliances,9.263138223,Yes,Yes,Several Individual warehouses,Yes,2558.824516,Yes,20,Yes,1,3.082457593,0.08898165,Yes,No,0.449362559,0.132654181,0.244164108,0.030204468,0.735229418,0.512213399,0,1,1,0,2,1,0,1,0,1,1,1,1191.34,5940.912172,15941.73927,34371.84025,42,0,0.376818289,0.479567028,0.285714286
194,1193,1,1,4771,12.99897107,80.21069555,Apparel / Accessory,11.2953942,Yes,Yes,Several Individual warehouses,Yes,65.31076541,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.22555717,0.775785347,0.73468463,0.651755951,0.69908832,0.93387022,1,0,0,0,1,1,1,0,0,1,1,0,633.73,3537.665353,9240.880779,34131.69553,44,0,1.510469977,0.877313121,0.285714286
680,1679,1,1,4759,13.06664702,80.22926704,Home furniture/ appliances,12.31564812,Yes,Yes,From wholesale shops,Yes,943.5811263,Yes,20,Yes,1,2.082457593,0.08898165,Yes,No,0.550133758,0.84116932,0.480731887,0.588394635,0.874829076,0.536052888,0,0,1,1,1,0,0,1,1,0,0,2,1330.08,6832.999241,18562.46125,39919.26559,44,0,1.321901207,1.138528393,0.428571429
120,1119,1,1,4752,12.98809046,80.21855102,Building Material / Hardware,10.75040104,Yes,Yes,Central Warehouse of establishment,Yes,272.4327929,Yes,20,Yes,1,2.082457593,0.08898165,Yes,No,0.046887876,1.144928363,0.824512044,0.581632568,0.84741489,0.113648312,0,1,1,0,0,0,1,1,1,1,0,0,948.82,5967.958799,17691.55289,35694.34174,44,0,1.969440408,0.628520443,0.285714286
985,1984,1,1,4773,13.14841731,80.2985893,Apparel / Accessory,9.988061005,NA,NA,Several Individual warehouses,NA,608.8527561,NA,20,NA,1,2.082457593,0.08898165,NA,Yes,0.681065778,0.18955871,0.443264567,0.956277383,0.595407135,0.460333838,0,0,0,0,0,0,1,0,0,1,1,0,346.04,5381.065538,14504.17029,24845.07384,44,0,0.632823277,1.637343161,0.033333333
424,1423,1,1,4771,13.03875522,80.16805751,Apparel / Accessory,11.60645066,NA,NA,From wholesale shops,NA,1750.96439,NA,20,NA,1,1.082457593,0.08898165,NA,NA,0.459364763,0.52784718,0.252918236,0.174115613,0.256172907,0.772535534,0,0,1,1,0,0,0,0,0,1,1,0,517.74,7596.202762,18640.00447,36672.85733,44,0.233333333,0.780765416,0.633480376,0.571428571
853,1852,1,1,8219,13.09131539,80.28014458,Others,12.07874285,Yes,Yes,Several Individual warehouses,Yes,245.4252173,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,Yes,0.085823469,0.339221964,0.367661977,0.244634194,0.233111051,0.183473635,0,1,1,1,1,0,1,0,1,1,1,1,796.02,6426.89458,16380.91366,16247.26285,42,1,0.706883941,0.330457663,0.033333333
287,1286,1,1,4752,13.02227843,80.22471936,Building Material / Hardware,11.50168644,Yes,Yes,Several Individual warehouses,Yes,1926.904973,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.989378459,0.421956497,0.986595063,0.403277804,0.260420963,0.220438665,0,1,1,1,0,1,0,0,0,0,1,1,1063.8,2583.677308,6006.597786,41665.52949,44,0,1.40855156,1.392656263,0.066666667
135,1134,1,1,4520,12.98958937,80.2049266,Automobile dealer & sevice,14.37234027,Yes,Yes,Several Individual warehouses,Yes,185.5003124,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.359277622,0.949442945,0.557382352,0.003056997,0.052969214,0.140904566,1,0,1,0,0,1,1,0,1,1,0,0,631.06,8006.465827,21654.14637,39558.4346,44,0,1.506825297,0.362334619,0.285714286
107,1106,1,1,9999,12.98413849,80.22239133,Others,9.597681623,Yes,Yes,Central Warehouse of establishment,Yes,493.8041953,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.173074904,1.507982693,0.86633845,0.659944837,0.020481341,0.706539027,1,1,0,1,1,1,0,1,0,2,0,1,525.94,6832.000018,16917.9925,35857.98796,32,0,2.374321142,0.83301974,1
511,1510,1,1,4630,13.04653007,80.19221481,Food stores,12.59587587,No,No,Several Individual warehouses,No,351.2149709,No,20,No,1,3.082457593,0.08898165,No,NA,0.411960649,1.144687249,0.826877382,0.293555775,0.485067256,0.266728535,1,1,1,1,0,0,1,0,1,0,1,0,824.49,3274.836923,10545.31407,35186.00262,42,0,1.971564631,0.705516424,1
807,1806,1,1,4649,13.08967078,80.2797483,Others,11.16211991,Yes,Yes,Several Individual warehouses,Yes,157.7334008,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.437228082,0.93710522,0.191882033,0.376843925,0.531967591,0.732324617,1,0,1,1,0,0,1,0,1,1,1,0,916.25,6591.296032,16390.04123,16957.74156,42,0,1.128987253,0.814072006,0.133333333
885,1884,1,1,4663,13.09402352,80.26242541,Building Material / Hardware,9.970753772,Yes,Yes,Several Individual warehouses,Yes,1291.352272,Yes,20,Yes,1,16.08245759,0.08898165,Yes,No,0.176916581,0.175284293,0.446280601,0.412003918,0.739187103,0.235099529,1,1,0,0,0,1,1,1,1,0,1,2,857.95,7146.539075,17692.01664,38345.88269,42,0,0.621564894,0.588920499,0.133333333
759,1758,1,1,4771,13.0823476,80.21373432,Home furniture/ appliances,10.87359285,No,No,Several Individual warehouses,No,707.9789532,No,20,No,1,1.082457593,0.08898165,No,No,0.538158552,0.55752183,0.438542829,0.640953845,0.361740084,0.29400133,1,0,0,1,0,0,0,1,1,1,1,0,496.36,6365.032792,18978.65575,37616.67541,44,0,0.996064659,1.179112398,0.285714286
157,1156,1,1,4520,12.99165417,80.20571583,Automobile dealer & sevice,11.58759406,Yes,Yes,Several Individual warehouses,Yes,89.63583992,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.657356744,0.444411138,0.246867505,0.57924364,0.26457186,0.73716215,1,0,1,1,1,1,1,1,0,0,0,1,931.84,3975.825275,10414.94889,37811.79199,44,0.233333333,0.691278643,1.236600385,0.142857143
1061,2060,1,1,4763,13.1706382,80.25816953,Others,12.11937595,Yes,Yes,From wholesale shops,Yes,199.9315813,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.726186574,0.519058202,1.022561137,0.580649132,0.173824231,0.744539606,0,1,0,0,1,0,1,0,1,1,0,0,650.35,6868.396114,18936.2894,26780.86052,45,0,1.541619339,1.306835706,0.495238095
551,1550,1,1,4771,13.04896436,80.27457664,Apparel / Accessory,12.69069858,No,No,Several Individual warehouses,No,454.9725945,No,20,No,1,0.082457593,0.08898165,No,No,0.720451488,0.989780715,0.644596009,0.123586214,0.709664096,0.565232891,1,1,0,0,0,1,1,0,0,0,1,0,1005.84,5813.20769,16980.36449,42174.4973,44,0,1.634376724,0.844037701,0.066666667
949,1948,1,1,4641,13.11868976,80.22855343,Apparel / Accessory,11.89212581,Yes,Yes,Central Warehouse of establishment,Yes,257.3389171,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.931769463,0.893846486,0.004169982,0.069747486,0.88641995,0.160756411,0,1,1,1,1,0,1,1,0,1,0,2,535.78,7843.008401,21028.2534,35451.5049,42,0,0.898016468,1.001516949,0.033333333
122,1121,1,1,9999,12.98859322,80.20293962,Building Material / Hardware,12.72961908,Yes,Yes,Several Individual warehouses,Yes,476.5315733,Yes,20,Yes,1,2.082457593,0.08898165,Yes,No,1.095696634,0.32781309,0.412424866,0.72914282,0.002228145,0.817202071,0,2,1,0,1,1,1,1,0,0,1,0,648.39,5983.431414,14952.35125,40077.15736,42,0.466666667,0.740237956,1.824839455,0.285714286
320,1319,1,1,4761,13.02983556,80.18367053,Others,15.61664587,Yes,Yes,Several Individual warehouses,Yes,190.843142,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.902845597,0.966874177,1.266465091,0.876729911,0.791429298,0.949395013,1,1,1,0,0,1,1,1,0,0,0,0,482.11,7144.852265,18815.03253,30046.73914,45,0,2.233339268,1.779575509,1
10,1009,1,1,4759,12.95612942,80.24318961,Electronics,10.08105769,Yes,Yes,Several Individual warehouses,Yes,692.3537105,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.713329202,0.986265103,0.435165887,0.03380526,0.270875067,1.051623484,0,0,1,0,0,1,1,1,0,0,1,1,696.11,4260.918045,13877.07956,31661.48862,44,0,1.421430991,0.747134461,0.1
439,1438,1,1,5610,13.04009823,80.25790541,Restaurant,10.53224324,Yes,Yes,From wholesale shops,Yes,618.5637001,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.976011601,0.285299635,0.834818301,0.821755591,0.44827823,0.96170484,0,1,1,1,0,0,1,0,1,0,0,1,956.77,7971.265927,22642.52198,34227.24037,31,0,1.120117936,1.797767193,0.714285714
69,1068,1,1,4520,12.97646898,80.15793891,Automobile dealer & sevice,12.64582661,No,No,From wholesale shops,No,103.8499106,No,20,No,1,2.082457593,0.08898165,No,No,0.646017482,0.889534255,0.501363167,0.163273767,0.477967058,0.068805237,0,0,0,1,0,1,0,0,0,1,0,0,576.39,6137.098689,16069.65526,68272.07161,44,0,1.390897421,0.809291249,0.285714286
1007,2006,1,1,4721,13.16118127,80.23293034,Food stores,11.82332496,Yes,Yes,Several Individual warehouses,Yes,571.0998002,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.398727668,0.875605804,0.1325931,0.51925222,0.379316315,1.527737369,0,0,0,1,0,0,1,1,1,0,0,0,202.43,6459.376077,16184.31925,7809.797533,44,0,1.008198904,0.917979889,1
800,1799,1,1,4649,13.08876255,80.2637948,Others,12.48280379,Yes,Yes,Central Warehouse of establishment,Yes,875.4667971,Yes,20,Yes,1,2.082457593,0.08898165,Yes,No,0.046383573,0.278747688,0.840502789,0.383264674,0.45603559,1.015619874,1,0,0,1,0,0,1,0,0,0,1,0,575.62,6268.373082,17265.86603,32588.57727,42,0,1.119250477,0.429648247,0.142857143
702,1701,1,1,4752,13.07254348,80.21080792,Building Material / Hardware,8.532087111,Yes,Yes,Several Individual warehouses,Yes,113.3846717,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.984824803,0.165932386,0.250019298,0.815462031,0.347158078,0.0647285,0,0,1,0,0,1,0,0,1,1,0,0,794.6,7250.721686,18267.85545,47552.15066,44,0,0.415951684,1.800286834,0.142857143
535,1534,1,1,4730,13.04771463,80.20379737,Others,18.32497998,No,No,Central Warehouse of establishment,No,2021.379619,No,20,No,1,8.082457593,0.08898165,No,No,0.711584173,0.279275821,0.716378628,0.222217455,0.985918636,0.252514354,0,1,0,1,1,0,1,0,1,1,1,1,764.08,5390.462623,16001.69776,112661.4828,44,0.933333333,0.995654449,0.933801627,0.571428571
910,1909,1,1,4772,13.09918497,80.26222666,Pharma vendor,12.36075804,No,No,Several Individual warehouses,No,148.946723,No,20,No,1,0.082457593,0.08898165,No,No,0.094726377,0.415885781,0.385286783,0.804216413,0.238477566,0.615566585,0,1,2,0,0,1,1,1,1,1,0,0,1036.99,7276.772606,17980.27839,36621.63683,44,0,0.801172564,0.89894279,1
65,1064,1,1,4759,12.96958189,80.24887881,Electronics,12.16507662,Yes,Yes,Several Individual warehouses,Yes,331.235117,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.17780683,0.018875851,0.831141469,0.794033982,0.107994619,0.106199679,0,0,0,1,0,1,1,1,0,1,0,1,1110.1,8403.805876,19084.24435,38595.98912,44,0,0.85001732,0.971840813,0.285714286
114,1113,1,1,4759,12.98711801,80.18827716,Electronics,13.07852421,Yes,Yes,Several Individual warehouses,Yes,238.8464648,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.657051716,0.142246623,0.638948591,0.406161846,0.319342053,0.491849449,1,0,1,1,0,0,0,0,1,0,0,0,697.67,3407.955589,9415.815505,32270.87793,44,0,0.781195214,1.063213562,0.142857143
126,1125,1,1,4759,12.98884415,80.20472147,Home furniture/ appliances,10.17153297,Yes,Yes,Several Individual warehouses,Yes,463.0235457,Yes,20,Yes,1,3.082457593,0.08898165,Yes,No,0.430895467,0.755791158,0.488644199,0.335713791,0.865609302,0.409744254,0,0,1,1,1,0,0,0,1,1,1,0,612.24,7592.051297,17774.60767,39884.85783,44,0,1.244435357,0.766609258,0.571428571
708,1707,1,1,4752,13.06585732,80.21039282,Building Material / Hardware,10.52194814,Yes,Yes,Several Individual warehouses,Yes,359.9641535,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.505479841,0.31477706,0.7723977,0.623334695,0.517995839,0.062369525,1,0,0,1,1,0,1,1,1,1,1,1,876.86,7170.070649,21639.67233,44627.29423,44,0,1.08717476,1.128814536,1.142857143
801,1800,1,1,9999,13.08894535,80.28084266,Building Material / Hardware,10.33009718,Yes,Yes,Several Individual warehouses,Yes,993.4773271,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.793646411,0.987239784,0.382610267,0.354809621,0.39431291,0.770633228,1,1,1,0,1,0,1,1,0,1,1,1,605.05,5301.064652,16676.23304,19031.97163,44,0,1.369850052,1.148456032,0.285714286
